"filename", "language", "JSON", "JSON with Comments", "TypeScript", "PostCSS", "SCSS", "HTML", "Dotenv", "Markdown", "XML", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\component\theme\button.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\component\theme\header.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\component\theme\textarea.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\component\theme\textinput.component.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\component\theme\typography.component.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\about\about.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 8, 50
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\about\about.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 1, 22
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\add-to-cart\add-to-cart.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 2, 8, 73
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\add-to-cart\add-to-cart.component.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 3, 39, 212
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\all-categories\all-categories.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\all-categories\all-categories.component.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 7, 11, 130
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\all-products\all-products.component.html", "HTML", 0, 0, 0, 0, 0, 115, 0, 0, 0, 11, 17, 143
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\all-products\all-products.component.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 14, 133
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\checkout\checkout\checkout.component.html", "HTML", 0, 0, 0, 0, 0, 101, 0, 0, 0, 5, 13, 119
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\checkout\checkout\checkout.component.ts", "TypeScript", 0, 0, 278, 0, 0, 0, 0, 0, 0, 12, 22, 312
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\contact\contact.component.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 3, 10, 81
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\contact\contact.component.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 6, 39
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\error.component.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\about-skin-ora\about-skin-ora.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 4, 29
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\about-skin-ora\about-skin-ora.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\banner\banner.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 3, 44
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\banner\banner.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 9, 57
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\categorys\categorys.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 0, 0, 10, 11, 81
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\categorys\categorys.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 2, 18, 123
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\customer-testimonials\customer-testimonials.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 8, 42
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\customer-testimonials\customer-testimonials.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\features\features.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\features\features.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 2, 44
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\index\index.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\index\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\products\products.component.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 16, 9, 66
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\home\products\products.component.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 15, 100
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 55, 0, 0, 0, 4, 10, 69
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\login\login.component.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 14, 95
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\privacy-policy.component.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 266, 0, 0, 0, 61, 56, 383
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\profile\profile.component.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 26, 149
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 0, 0, 4, 10, 102
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\register\register.component.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 16, 110
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\single-product\single-product.component.html", "HTML", 0, 0, 0, 0, 0, 141, 0, 0, 0, 14, 15, 170
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\single-product\single-product.component.ts", "TypeScript", 0, 0, 153, 0, 0, 0, 0, 0, 0, 39, 30, 222
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\banner.component.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 2, 10, 87
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\category-page.component.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 4, 44
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\category-product\category-product.component.html", "HTML", 0, 0, 0, 0, 0, 117, 0, 0, 0, 13, 19, 149
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\category-product\category-product.component.ts", "TypeScript", 0, 0, 148, 0, 0, 0, 0, 0, 0, 1, 22, 171
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\mobile-filter-drawer\mobile-filter-drawer.component.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 0, 0, 13, 9, 108
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\mobile-filter-drawer\mobile-filter-drawer.component.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 13, 115
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\product-filter\product-filter.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 6, 74
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\singleCategory\product-filter\product-filter.component.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 10, 102
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\terms.component.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 75
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\pages\thank-you.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\services\cart.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 3, 17, 89
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\environments\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\environments\environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\environments\environment.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 8
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\main.server.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\main.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\material-theme.scss", "SCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 12, 6, 38
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\server.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 24, 9, 69
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\styles.css", "PostCSS", 0, 0, 0, 57, 0, 0, 0, 0, 0, 11, 11, 79
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\tailwind.config.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 0, 33
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\tsconfig.app.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 34
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 9890, 31, 2947, 57, 20, 1742, 1, 36, 338, 371, 762, 16195
